year,player,portrait_filename
2020,Onyeka Okongwu,onyeka_okongwu.webp
2020,Killian Hayes,killian_hayes.webp
2020,Obi Toppin,obi_toppin.webp
2020,Deni Avdija,deni_avdija.webp
2020,Devin Vassell,devin_vassell.webp
2020,Tyrese Haliburton,tyrese_haliburton.webp
2020,Cole Anthony,cole_anthony.webp
2020,Tyrese Maxey,tyrese_maxey.webp
2020,Desmond Bane,desmond_bane.webp
2020,Immanuel Quickley,immanuel_quickley.webp
2021,Cade Cunningham,cade_cunningham.webp
2021,Jalen Green,jalen_green.webp
2021,Evan Mobley,evan_mobley.webp
2021,Scottie Barnes,scottie_barnes.webp
2021,Jalen Suggs,jalen_suggs.webp
2021,Josh Giddey,josh_giddey.webp
2021,Jonathan Kuminga,jonathan_kuminga.webp
2021,Franz Wagner,franz_wagner.webp
2021,Davion Mitchell,davion_mitchell.webp
2021,Alperen Sengun,alperen_sengun.webp
2021,Trey Murphy III,trey_murphy_iii.webp
2021,Jalen Johnson,jalen_johnson.webp
2021,Cam Thomas,cam_thomas.webp
2021,Herb Jones,herb_jones.webp
2022,Paolo Banchero,paolo_banchero.webp
2022,Chet Holmgren,chet_holmgren.webp
2022,Jabari Smith Jr.,jabari_smith_jr.webp
2022,Keegan Murray,keegan_murray.webp
2022,Jaden Ivey,jaden_ivey.webp
2022,Bennedict Mathurin,bennedict_mathurin.webp
2022,Shaedon Sharpe,shaedon_sharpe.webp
2022,Dyson Daniels,dyson_daniels.webp
2022,Jeremy Sochan,jeremy_sochan.webp
2022,Jalen Williams,jalen_williams.webp
2022,Jalen Duren,jalen_duren.webp
2022,Mark Williams,mark_williams.webp
2022,Walker Kessler,walker_kessler.webp
2022,Andrew Nembhard,andrew_nembhard.webp
2023,Victor Wembanyama,victor_wembanyama.webp
2023,Brandon Miller,brandon_miller.webp
2023,Scoot Henderson,scoot_henderson.webp
2023,Amen Thompson,amen_thompson.webp
2023,Ausar Thompson,ausar_thompson.webp
2023,Anthony Black,anthony_black.webp
2023,Bilal Coulibaly,bilal_coulibaly.webp
2023,Jarace Walker,jarace_walker.webp
2023,Taylor Hendricks,taylor_hendricks.webp
2023,Cason Wallace,cason_wallace.webp
2023,Dereck Lively II,dereck_lively_ii.webp
2023,Gradey Dick,gradey_dick.webp
2023,Jaime Jaquez Jr.,jaime_jaquez_jr.webp
2023,Brandin Podziemski,brandin_podziemski.webp
2023,Cam Whitmore,cam_whitmore.webp
2024,Zaccharie Risacher,zaccharie_risacher.webp
2024,Alex Sarr,alex_sarr.webp
2024,Reed Sheppard,reed_sheppard.webp
2024,Stephon Castle,stephon_castle.webp
2024,Ron Holland,ron_holland.webp
2024,Tidjane Salaun,tidjane_salaun.webp
2024,Donovan Clingan,donovan_clingan.webp
2024,Rob Dillingham,rob_dillingham.webp
2024,Zach Edey,zach_edey.webp
2024,Cody Williams,cody_williams.webp
2024,Matas Buzelis,matas_buzelis.webp
2024,Dalton Knecht,dalton_knecht.webp
2024,Jared McCain,jared_mccain.webp
2024,Kel'el Ware,kelel_ware.webp
2024,Yves Missi,yves_missi.webp
2024,Bronny James,bronny_james.webp
2025,Cooper Flagg,cooper_flagg.webp
2025,Dylan Harper,dylan_harper.webp
2025,VJ Edgecombe,vj_edgecombe.webp
2025,Kon Knueppel,kon_knueppel.webp
2025,Ace Bailey,ace_bailey.webp
2025,Tre Johnson,tre_johnson.webp
2025,Jeremiah Fears,jeremiah_fears.webp
2025,Egor Demin,egor_demin.webp
2025,Collin Murray-Boyles,collin_murray_boyles.webp
2025,Khaman Maluach,khaman_maluach.webp
2025,Cedric Coward,cedric_coward.webp
2025,Noa Essengue,noa_essengue.webp
2025,Derik Queen,derik_queen.webp
2025,Kasparas Jakucionis,kasparas_jakucionis.webp
2025,Thomas Sorber,thomas_sorber.webp
2026,AJ Dybantsa,aj_dybantsa.webp
2026,Darryn Peterson,darryn_peterson.webp
2026,Cameron Boozer,cameron_boozer.webp
2026,Mikel Brown Jr.,mikel_brown_jr.webp
2026,Nate Ament,nate_ament.webp
2026,Caleb Wilson,caleb_wilson.webp
2026,Jayden Quaintance,jayden_quaintance.webp
2026,Meleek Thomas,meleek_thomas.webp
2026,Brayden Burries,brayden_burries.webp
2026,Koa Peat,koa_peat.webp
